species,n_sheets_present
Rhinopoma microphyllum,39
Metochus uniguttatus,34
Taphozous nudiventris,34
Hydropsyche alabama,31
Smutsia gigantea,31
Pyrilla perpusilla,28
Cletus pugnator,25
Adoretus flavus,23
Elasmolomus pallens,23
Cladosporium cladosporioides,18
Hydrophilus olivaceus,15
Sternolophus rufipes,15
Drosophila imparisetae,14
Eothenomys melanogaster,14
Oxya hyla,14
Camponotus compressus,13
Oxya fuscovittata,13
Triplax lacordairii,13
Bembix kohlii,12
Cletus trigonus,12
Undinella oblonga,12
Cladosporium anthropophilum,11
Harpactus elegans,11
Ptilotrigona pereneae,11
Stromatium auratum,11
Abstrusomyzus phloxae,10
Bembix rostrata,10
Cercospora nicotianae,10
Camponotus siemsseni,9
Gonatopus distinctus,9
Lasiurus minor,9
Decameria vyssus,8
Malassezia japonica,8
Ochlerotatus cyprius,8
Parachloritis newtoni,8
Rousettus leschenaultii,8
Aceria ficus,7
Aedes unilineatus,7
Aphis glycines,7
Erthesina acuminata,7
Halyzia sedecimguttata,7
Leptocorisa acuta,7
Sitophilus oryzae,7
Talaromyces trachyspermus,7
Alphitobius diaperinus,6
Aphis holodisci,6
Aporia belucha,6
Ochlerotatus portonovoensis,6
Strangaliodes deserticola,6
Toxopoda soror,6
Apathya cappadocica,5
Aspergillus japonicus,5
Ceroglossus buqueti,5
Coniferiporia sulphurascens,5
Cyphocaris challengeri,5
Diplacanthus brevispinus,5
Haemagogus tropicalis,5
Locris rubra,5
Neopolynoe paradoxa,5
Osmylus tessellatus,5
Panorpa flavipennis,5
Platymetopus flavilabris,5
Pristimantis croceoinguinis,5
Proneomenia sluiteri,5
Sinoxylon indicum,5
Acheta hispanicus,4
Aeshna subarctica,4
Aiolopus thalassinus,4
Alpheus distinguendus,4
Apis nigrocincta,4
Calvadosia campanulata,4
Cladosporium sphaerospermum,4
Culex murrelli,4
Dermatonotus muelleri,4
Diphyllaphis quercus,4
Eretmapodites quinquevittatus,4
Jaminaea angkorensis,4
Mucor moelleri,4
Penicillium waksmanii,4
Perissonemia borneenis,4
Pusia savignyi,4
Tremoctopus robsoni,4
Tripteroides bambusa,4
Uranotaenia atra,4
Ustilago bromivora,4
Wilsoniana amaranthi,4
Aedes pallidostriatus,3
Anaulus australis,3
Argia pulla,3
